"행정구역","2022년06월_총인구수","2022년06월_세대수","2022년06월_세대당 인구","2022년06월_남자 인구수","2022년06월_여자 인구수","2022년06월_남여 비율"
"서울특별시  (1100000000)","9,494,807","4,464,840","          2.13","4,605,655","4,889,152","          0.94"
"서울특별시 종로구 (1111000000)","143,624","73,728","          1.95","69,513","74,111","          0.94"
"서울특별시 종로구 청운효자동(1111051500)","11,803","5,210","          2.27","5,430","6,373","          0.85"
"서울특별시 종로구 사직동(1111053000)","9,310","4,674","          1.99","4,154","5,156","          0.81"
"서울특별시 종로구 삼청동(1111054000)","2,386","1,193","          2.00","1,130","1,256","          0.90"
"서울특별시 종로구 부암동(1111055000)","9,432","4,235","          2.23","4,490","4,942","          0.91"
"서울특별시 종로구 평창동(1111056000)","17,963","7,438","          2.42","8,368","9,595","          0.87"
"서울특별시 종로구 무악동(1111057000)","8,150","3,060","          2.66","3,782","4,368","          0.87"
"서울특별시 종로구 교남동(1111058000)","9,947","4,432","          2.24","4,580","5,367","          0.85"
"서울특별시 종로구 가회동(1111060000)","4,026","1,988","          2.03","1,846","2,180","          0.85"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,199","5,294","          1.36","4,270","2,929","          1.46"
"서울특별시 종로구 종로5.6가동(1111063000)","5,056","3,411","          1.48","2,685","2,371","          1.13"
"서울특별시 종로구 이화동(1111064000)","7,231","4,369","          1.66","3,431","3,800","          0.90"
"서울특별시 종로구 혜화동(1111065000)","16,369","9,309","          1.76","7,865","8,504","          0.92"
"서울특별시 종로구 창신제1동(1111067000)","4,857","2,855","          1.70","2,601","2,256","          1.15"
"서울특별시 종로구 창신제2동(1111068000)","7,837","4,044","          1.94","4,028","3,809","          1.06"
"서울특별시 종로구 창신제3동(1111069000)","6,496","2,800","          2.32","3,191","3,305","          0.97"
"서울특별시 종로구 숭인제1동(1111070000)","5,835","2,993","          1.95","2,819","3,016","          0.93"
"서울특별시 종로구 숭인제2동(1111071000)","9,727","6,423","          1.51","4,843","4,884","          0.99"
"서울특별시 중구 (1114000000)","122,088","63,958","          1.91","59,364","62,724","          0.95"
"서울특별시 중구 소공동(1114052000)","2,237","1,303","          1.72","1,073","1,164","          0.92"
"서울특별시 중구 회현동(1114054000)","4,733","2,697","          1.75","2,452","2,281","          1.07"
"서울특별시 중구 명동(1114055000)","2,889","1,560","          1.85","1,259","1,630","          0.77"
"서울특별시 중구 필동(1114057000)","4,036","2,498","          1.62","2,079","1,957","          1.06"
"서울특별시 중구 장충동(1114058000)","4,639","2,851","          1.63","2,427","2,212","          1.10"
"서울특별시 중구 광희동(1114059000)","5,295","3,453","          1.53","2,676","2,619","          1.02"
"서울특별시 중구 을지로동(1114060500)","1,737","1,352","          1.28","1,055","682","          1.55"
"서울특별시 중구 신당동(1114061500)","7,748","4,840","          1.60","3,795","3,953","          0.96"
"서울특별시 중구 다산동(1114062500)","13,710","6,926","          1.98","6,654","7,056","          0.94"
"서울특별시 중구 약수동(1114063500)","16,547","7,843","          2.11","7,665","8,882","          0.86"
"서울특별시 중구 청구동(1114064500)","13,432","6,280","          2.14","6,380","7,052","          0.90"
"서울특별시 중구 신당제5동(1114065000)","10,284","5,385","          1.91","4,988","5,296","          0.94"
"서울특별시 중구 동화동(1114066500)","10,159","4,065","          2.50","4,884","5,275","          0.93"
"서울특별시 중구 황학동(1114067000)","12,649","7,216","          1.75","6,011","6,638","          0.91"
"서울특별시 중구 중림동(1114068000)","11,993","5,689","          2.11","5,966","6,027","          0.99"
"서울특별시 용산구 (1117000000)","222,263","111,860","          1.99","106,743","115,520","          0.92"
"서울특별시 용산구 후암동(1117051000)","16,636","8,436","          1.97","8,110","8,526","          0.95"
"서울특별시 용산구 용산2가동(1117052000)","9,322","5,229","          1.78","4,503","4,819","          0.93"
"서울특별시 용산구 남영동(1117053000)","7,260","5,156","          1.41","4,419","2,841","          1.56"
"서울특별시 용산구 청파동(1117055500)","19,309","11,186","          1.73","8,987","10,322","          0.87"
"서울특별시 용산구 원효로제1동(1117056000)","16,530","8,762","          1.89","7,720","8,810","          0.88"
"서울특별시 용산구 원효로제2동(1117057000)","13,712","6,063","          2.26","6,456","7,256","          0.89"
"서울특별시 용산구 효창동(1117058000)","10,705","4,669","          2.29","5,088","5,617","          0.91"
"서울특별시 용산구 용문동(1117059000)","11,717","5,389","          2.17","5,632","6,085","          0.93"
"서울특별시 용산구 한강로동(1117062500)","21,602","11,641","          1.86","10,257","11,345","          0.90"
"서울특별시 용산구 이촌제1동(1117063000)","25,641","9,532","          2.69","12,022","13,619","          0.88"
"서울특별시 용산구 이촌제2동(1117064000)","8,194","3,671","          2.23","3,827","4,367","          0.88"
"서울특별시 용산구 이태원제1동(1117065000)","6,308","3,611","          1.75","3,085","3,223","          0.96"
"서울특별시 용산구 이태원제2동(1117066000)","8,898","4,937","          1.80","4,095","4,803","          0.85"
"서울특별시 용산구 한남동(1117068500)","20,247","10,927","          1.85","9,758","10,489","          0.93"
"서울특별시 용산구 서빙고동(1117069000)","12,979","5,315","          2.44","6,220","6,759","          0.92"
"서울특별시 용산구 보광동(1117070000)","13,203","7,336","          1.80","6,564","6,639","          0.99"
"서울특별시 성동구 (1120000000)","283,821","134,327","          2.11","138,162","145,659","          0.95"
"서울특별시 성동구 왕십리제2동(1120052000)","16,320","7,392","          2.21","7,890","8,430","          0.94"
"서울특별시 성동구 왕십리도선동(1120053500)","26,534","12,087","          2.20","12,555","13,979","          0.90"
"서울특별시 성동구 마장동(1120054000)","22,282","11,053","          2.02","10,978","11,304","          0.97"
"서울특별시 성동구 사근동(1120055000)","12,109","8,201","          1.48","6,277","5,832","          1.08"
"서울특별시 성동구 행당제1동(1120056000)","13,893","6,526","          2.13","6,670","7,223","          0.92"
"서울특별시 성동구 행당제2동(1120057000)","23,100","9,211","          2.51","10,802","12,298","          0.88"
"서울특별시 성동구 응봉동(1120058000)","15,199","6,036","          2.52","7,258","7,941","          0.91"
"서울특별시 성동구 금호1가동(1120059000)","15,081","6,506","          2.32","7,184","7,897","          0.91"
"서울특별시 성동구 금호2.3가동(1120061500)","22,459","10,064","          2.23","10,668","11,791","          0.90"
"서울특별시 성동구 금호4가동(1120062000)","14,245","6,343","          2.25","6,741","7,504","          0.90"
"서울특별시 성동구 옥수동(1120064500)","25,801","10,818","          2.39","11,985","13,816","          0.87"
"서울특별시 성동구 성수1가제1동(1120065000)","16,392","7,746","          2.12","8,175","8,217","          0.99"
"서울특별시 성동구 성수1가제2동(1120066000)","12,323","6,041","          2.04","6,047","6,276","          0.96"
"서울특별시 성동구 성수2가제1동(1120067000)","15,608","8,128","          1.92","8,154","7,454","          1.09"
"서울특별시 성동구 성수2가제3동(1120069000)","10,657","5,558","          1.92","5,345","5,312","          1.01"
"서울특별시 성동구 송정동(1120072000)","10,343","5,569","          1.86","5,463","4,880","          1.12"
"서울특별시 성동구 용답동(1120079000)","11,475","7,048","          1.63","5,970","5,505","          1.08"
"서울특별시 광진구 (1121500000)","339,893","169,856","          2.00","163,920","175,973","          0.93"
"서울특별시 광진구 화양동(1121571000)","23,723","18,384","          1.29","11,296","12,427","          0.91"
"서울특별시 광진구 군자동(1121573000)","19,496","11,408","          1.71","9,652","9,844","          0.98"
"서울특별시 광진구 중곡제1동(1121574000)","15,306","8,347","          1.83","7,394","7,912","          0.93"
"서울특별시 광진구 중곡제2동(1121575000)","21,220","10,681","          1.99","10,002","11,218","          0.89"
"서울특별시 광진구 중곡제3동(1121576000)","16,066","8,548","          1.88","7,972","8,094","          0.98"
"서울특별시 광진구 중곡제4동(1121577000)","28,262","13,134","          2.15","13,811","14,451","          0.96"
"서울특별시 광진구 능동(1121578000)","11,294","6,477","          1.74","5,218","6,076","          0.86"
"서울특별시 광진구 광장동(1121581000)","34,349","11,882","          2.89","16,631","17,718","          0.94"
"서울특별시 광진구 자양제1동(1121582000)","22,101","12,001","          1.84","10,730","11,371","          0.94"
"서울특별시 광진구 자양제2동(1121583000)","24,273","10,973","          2.21","11,764","12,509","          0.94"
"서울특별시 광진구 자양제3동(1121584000)","27,775","11,097","          2.50","13,298","14,477","          0.92"
"서울특별시 광진구 자양제4동(1121584700)","18,019","10,173","          1.77","8,959","9,060","          0.99"
"서울특별시 광진구 구의제1동(1121585000)","23,254","12,984","          1.79","11,084","12,170","          0.91"
"서울특별시 광진구 구의제2동(1121586000)","26,311","11,604","          2.27","12,654","13,657","          0.93"
"서울특별시 광진구 구의제3동(1121587000)","28,444","12,163","          2.34","13,455","14,989","          0.90"
"서울특별시 동대문구 (1123000000)","337,330","169,931","          1.99","166,348","170,982","          0.97"
"서울특별시 동대문구 용신동(1123053600)","32,711","19,622","          1.67","16,318","16,393","          1.00"
"서울특별시 동대문구 제기동(1123054500)","24,523","13,559","          1.81","12,564","11,959","          1.05"
"서울특별시 동대문구 전농제1동(1123056000)","28,912","14,836","          1.95","14,483","14,429","          1.00"
"서울특별시 동대문구 전농제2동(1123057000)","18,397","7,624","          2.41","8,828","9,569","          0.92"
"서울특별시 동대문구 답십리제1동(1123060000)","28,899","13,163","          2.20","13,920","14,979","          0.93"
"서울특별시 동대문구 답십리제2동(1123061000)","27,993","12,569","          2.23","13,577","14,416","          0.94"
"서울특별시 동대문구 장안제1동(1123065000)","38,105","18,448","          2.07","18,851","19,254","          0.98"
"서울특별시 동대문구 장안제2동(1123066000)","32,400","14,106","          2.30","16,099","16,301","          0.99"
"서울특별시 동대문구 청량리동(1123070500)","18,675","9,705","          1.92","9,317","9,358","          1.00"
"서울특별시 동대문구 회기동(1123071000)","10,610","6,712","          1.58","5,100","5,510","          0.93"
"서울특별시 동대문구 휘경제1동(1123072000)","14,043","7,824","          1.79","6,649","7,394","          0.90"
"서울특별시 동대문구 휘경제2동(1123073000)","24,083","12,263","          1.96","12,038","12,045","          1.00"
"서울특별시 동대문구 이문제1동(1123074000)","18,162","10,744","          1.69","9,041","9,121","          0.99"
"서울특별시 동대문구 이문제2동(1123075000)","19,817","8,756","          2.26","9,563","10,254","          0.93"
"서울특별시 중랑구 (1126000000)","388,509","188,188","          2.06","191,433","197,076","          0.97"
"서울특별시 중랑구 면목제2동(1126052000)","24,067","12,301","          1.96","12,012","12,055","          1.00"
"서울특별시 중랑구 면목제4동(1126054000)","18,813","9,099","          2.07","9,380","9,433","          0.99"
"서울특별시 중랑구 면목제5동(1126055000)","14,795","6,468","          2.29","7,425","7,370","          1.01"
"서울특별시 중랑구 면목본동(1126056500)","33,383","17,784","          1.88","16,515","16,868","          0.98"
"서울특별시 중랑구 면목제7동(1126057000)","21,626","10,599","          2.04","10,847","10,779","          1.01"
"서울특별시 중랑구 면목제3.8동(1126057500)","24,482","12,647","          1.94","12,150","12,332","          0.99"
"서울특별시 중랑구 상봉제1동(1126058000)","23,776","10,239","          2.32","11,549","12,227","          0.94"
"서울특별시 중랑구 상봉제2동(1126059000)","20,257","12,256","          1.65","9,783","10,474","          0.93"
"서울특별시 중랑구 중화제1동(1126060000)","19,398","9,080","          2.14","9,532","9,866","          0.97"
"서울특별시 중랑구 중화제2동(1126061000)","24,771","13,673","          1.81","12,712","12,059","          1.05"
"서울특별시 중랑구 묵제1동(1126062000)","34,417","15,089","          2.28","16,537","17,880","          0.92"
"서울특별시 중랑구 묵제2동(1126063000)","18,544","9,267","          2.00","9,103","9,441","          0.96"
"서울특별시 중랑구 망우본동(1126065500)","35,567","17,591","          2.02","17,617","17,950","          0.98"
"서울특별시 중랑구 망우제3동(1126066000)","16,156","8,266","          1.95","8,156","8,000","          1.02"
"서울특별시 중랑구 신내1동(1126068000)","38,280","14,822","          2.58","18,500","19,780","          0.94"
"서울특별시 중랑구 신내2동(1126069000)","20,177","9,007","          2.24","9,615","10,562","          0.91"
"서울특별시 성북구 (1129000000)","433,559","198,089","          2.19","208,790","224,769","          0.93"
"서울특별시 성북구 성북동(1129052500)","16,404","8,249","          1.99","7,641","8,763","          0.87"
"서울특별시 성북구 삼선동(1129055500)","22,725","11,600","          1.96","10,796","11,929","          0.91"
"서울특별시 성북구 동선동(1129057500)","15,434","9,720","          1.59","6,468","8,966","          0.72"
"서울특별시 성북구 돈암제1동(1129058000)","14,465","6,091","          2.37","6,748","7,717","          0.87"
"서울특별시 성북구 돈암제2동(1129059000)","23,642","8,573","          2.76","11,177","12,465","          0.90"
"서울특별시 성북구 안암동(1129060000)","15,134","9,710","          1.56","7,634","7,500","          1.02"
"서울특별시 성북구 보문동(1129061000)","16,296","8,100","          2.01","7,840","8,456","          0.93"
"서울특별시 성북구 정릉제1동(1129062000)","18,071","7,388","          2.45","8,670","9,401","          0.92"
"서울특별시 성북구 정릉제2동(1129063000)","22,890","9,931","          2.30","11,087","11,803","          0.94"
"서울특별시 성북구 정릉제3동(1129064000)","15,323","8,209","          1.87","7,648","7,675","          1.00"
"서울특별시 성북구 정릉제4동(1129065000)","24,661","10,884","          2.27","11,854","12,807","          0.93"
"서울특별시 성북구 길음제1동(1129066000)","34,908","12,448","          2.80","16,556","18,352","          0.90"
"서울특별시 성북구 길음제2동(1129068500)","21,375","8,566","          2.50","10,288","11,087","          0.93"
"서울특별시 성북구 종암동(1129070500)","38,445","17,191","          2.24","19,020","19,425","          0.98"
"서울특별시 성북구 월곡제1동(1129071500)","26,184","10,906","          2.40","12,625","13,559","          0.93"
"서울특별시 성북구 월곡제2동(1129072500)","19,342","9,693","          2.00","9,300","10,042","          0.93"
"서울특별시 성북구 장위제1동(1129076000)","24,077","10,754","          2.24","11,797","12,280","          0.96"
"서울특별시 성북구 장위제2동(1129077000)","13,640","6,716","          2.03","6,717","6,923","          0.97"
"서울특별시 성북구 장위제3동(1129078000)","15,709","6,450","          2.44","7,697","8,012","          0.96"
"서울특별시 성북구 석관동(1129081000)","34,834","16,910","          2.06","17,227","17,607","          0.98"
"서울특별시 강북구 (1130500000)","296,653","145,048","          2.05","144,154","152,499","          0.95"
"서울특별시 강북구 삼양동(1130553400)","23,387","11,093","          2.11","11,671","11,716","          1.00"
"서울특별시 강북구 미아동(1130553500)","21,331","11,657","          1.83","10,223","11,108","          0.92"
"서울특별시 강북구 송중동(1130554500)","29,514","14,081","          2.10","14,190","15,324","          0.93"
"서울특별시 강북구 송천동(1130555500)","25,907","13,478","          1.92","12,807","13,100","          0.98"
"서울특별시 강북구 삼각산동(1130557500)","30,904","11,504","          2.69","14,845","16,059","          0.92"
"서울특별시 강북구 번1동(1130559500)","18,406","10,460","          1.76","9,268","9,138","          1.01"
"서울특별시 강북구 번2동(1130560300)","15,522","7,552","          2.06","7,500","8,022","          0.93"
"서울특별시 강북구 번3동(1130560800)","16,607","7,451","          2.23","7,766","8,841","          0.88"
"서울특별시 강북구 수유1동(1130561500)","20,471","10,515","          1.95","10,063","10,408","          0.97"
"서울특별시 강북구 수유2동(1130562500)","21,092","9,879","          2.14","10,034","11,058","          0.91"
"서울특별시 강북구 수유3동(1130563500)","23,101","13,336","          1.73","11,461","11,640","          0.98"
"서울특별시 강북구 우이동(1130564500)","20,390","9,652","          2.11","9,832","10,558","          0.93"
"서울특별시 강북구 인수동(1130566000)","30,021","14,390","          2.09","14,494","15,527","          0.93"
"서울특별시 도봉구 (1132000000)","314,791","139,076","          2.26","153,014","161,777","          0.95"
"서울특별시 도봉구 창제1동(1132051100)","24,473","10,978","          2.23","11,645","12,828","          0.91"
"서울특별시 도봉구 창제2동(1132051200)","28,843","12,609","          2.29","14,019","14,824","          0.95"
"서울특별시 도봉구 창제3동(1132051300)","13,713","6,554","          2.09","6,851","6,862","          1.00"
"서울특별시 도봉구 창제4동(1132051400)","26,273","10,679","          2.46","12,628","13,645","          0.93"
"서울특별시 도봉구 창제5동(1132051500)","24,370","10,255","          2.38","11,652","12,718","          0.92"
"서울특별시 도봉구 도봉제1동(1132052100)","20,809","10,391","          2.00","10,458","10,351","          1.01"
"서울특별시 도봉구 도봉제2동(1132052200)","26,473","11,805","          2.24","12,931","13,542","          0.95"
"서울특별시 도봉구 쌍문제1동(1132066000)","21,219","9,421","          2.25","10,217","11,002","          0.93"
"서울특별시 도봉구 쌍문제2동(1132067000)","18,633","8,617","          2.16","8,857","9,776","          0.91"
"서울특별시 도봉구 쌍문제3동(1132068000)","16,924","8,252","          2.05","8,148","8,776","          0.93"
"서울특별시 도봉구 쌍문제4동(1132068100)","18,409","7,114","          2.59","8,679","9,730","          0.89"
"서울특별시 도봉구 방학제1동(1132069000)","28,507","13,049","          2.18","14,153","14,354","          0.99"
"서울특별시 도봉구 방학제2동(1132070000)","19,400","9,383","          2.07","9,810","9,590","          1.02"
"서울특별시 도봉구 방학제3동(1132071000)","26,745","9,969","          2.68","12,966","13,779","          0.94"
"서울특별시 노원구 (1135000000)","508,066","218,637","          2.32","244,387","263,679","          0.93"
"서울특별시 노원구 월계1동(1135056000)","21,232","10,160","          2.09","10,971","10,261","          1.07"
"서울특별시 노원구 월계2동(1135057000)","26,240","11,873","          2.21","12,608","13,632","          0.92"
"서울특별시 노원구 월계3동(1135058000)","29,535","12,961","          2.28","14,096","15,439","          0.91"
"서울특별시 노원구 공릉1동(1135059500)","36,646","18,477","          1.98","17,809","18,837","          0.95"
"서울특별시 노원구 공릉2동(1135060000)","41,817","17,702","          2.36","20,351","21,466","          0.95"
"서울특별시 노원구 하계1동(1135061100)","26,825","12,184","          2.20","12,848","13,977","          0.92"
"서울특별시 노원구 하계2동(1135061200)","21,737","8,202","          2.65","10,327","11,410","          0.91"
"서울특별시 노원구 중계본동(1135061900)","23,691","8,350","          2.84","11,531","12,160","          0.95"
"서울특별시 노원구 중계1동(1135062100)","26,454","8,931","          2.96","12,880","13,574","          0.95"
"서울특별시 노원구 중계4동(1135062400)","19,676","8,300","          2.37","9,460","10,216","          0.93"
"서울특별시 노원구 중계2.3동(1135062500)","33,787","15,224","          2.22","15,499","18,288","          0.85"
"서울특별시 노원구 상계1동(1135063000)","37,878","15,648","          2.42","18,308","19,570","          0.94"
"서울특별시 노원구 상계2동(1135064000)","19,779","8,649","          2.29","9,736","10,043","          0.97"
"서울특별시 노원구 상계3.4동(1135066500)","25,728","11,918","          2.16","12,811","12,917","          0.99"
"서울특별시 노원구 상계5동(1135067000)","23,666","10,924","          2.17","11,470","12,196","          0.94"
"서울특별시 노원구 상계6.7동(1135069500)","32,286","13,900","          2.32","14,915","17,371","          0.86"
"서울특별시 노원구 상계8동(1135070000)","22,425","9,237","          2.43","10,714","11,711","          0.91"
"서울특별시 노원구 상계9동(1135071000)","20,197","8,359","          2.42","9,507","10,690","          0.89"
"서울특별시 노원구 상계10동(1135072000)","18,467","7,638","          2.42","8,546","9,921","          0.86"
"서울특별시 은평구 (1138000000)","473,674","216,455","          2.19","226,148","247,526","          0.91"
"서울특별시 은평구 녹번동(1138051000)","36,727","17,698","          2.08","17,343","19,384","          0.89"
"서울특별시 은평구 불광제1동(1138052000)","38,268","17,799","          2.15","18,018","20,250","          0.89"
"서울특별시 은평구 불광제2동(1138053000)","27,269","14,047","          1.94","13,138","14,131","          0.93"
"서울특별시 은평구 갈현제1동(1138055100)","21,241","10,611","          2.00","10,383","10,858","          0.96"
"서울특별시 은평구 갈현제2동(1138055200)","28,030","12,650","          2.22","13,270","14,760","          0.90"
"서울특별시 은평구 구산동(1138056000)","32,143","13,488","          2.38","15,692","16,451","          0.95"
"서울특별시 은평구 대조동(1138057000)","26,835","14,638","          1.83","12,437","14,398","          0.86"
"서울특별시 은평구 응암제1동(1138058000)","32,940","15,023","          2.19","15,558","17,382","          0.90"
"서울특별시 은평구 응암제2동(1138059000)","27,999","11,305","          2.48","13,557","14,442","          0.94"
"서울특별시 은평구 응암제3동(1138060000)","24,193","12,550","          1.93","11,760","12,433","          0.95"
"서울특별시 은평구 역촌동(1138062500)","45,038","20,927","          2.15","21,111","23,927","          0.88"
"서울특별시 은평구 신사제1동(1138063100)","26,861","11,956","          2.25","12,911","13,950","          0.93"
"서울특별시 은평구 신사제2동(1138063200)","19,678","8,839","          2.23","9,803","9,875","          0.99"
"서울특별시 은평구 증산동(1138064000)","17,920","7,812","          2.29","8,771","9,149","          0.96"
"서울특별시 은평구 수색동(1138065000)","13,174","5,542","          2.38","6,461","6,713","          0.96"
"서울특별시 은평구 진관동(1138069000)","55,358","21,570","          2.57","25,935","29,423","          0.88"
"서울특별시 서대문구 (1141000000)","305,623","145,517","          2.10","145,663","159,960","          0.91"
"서울특별시 서대문구 천연동(1141052000)","16,951","7,730","          2.19","8,047","8,904","          0.90"
"서울특별시 서대문구 북아현동(1141055500)","15,758","7,195","          2.19","7,555","8,203","          0.92"
"서울특별시 서대문구 충현동(1141056500)","20,178","10,247","          1.97","9,699","10,479","          0.93"
"서울특별시 서대문구 신촌동(1141058500)","20,310","14,639","          1.39","8,943","11,367","          0.79"
"서울특별시 서대문구 연희동(1141061500)","34,800","18,702","          1.86","16,642","18,158","          0.92"
"서울특별시 서대문구 홍제제1동(1141062000)","23,406","10,397","          2.25","10,936","12,470","          0.88"
"서울특별시 서대문구 홍제제3동(1141064000)","17,714","8,056","          2.20","8,513","9,201","          0.93"
"서울특별시 서대문구 홍제제2동(1141065500)","13,527","5,777","          2.34","6,335","7,192","          0.88"
"서울특별시 서대문구 홍은제1동(1141066000)","22,734","9,855","          2.31","10,978","11,756","          0.93"
"서울특별시 서대문구 홍은제2동(1141068500)","26,216","12,326","          2.13","12,614","13,602","          0.93"
"서울특별시 서대문구 남가좌제1동(1141069000)","15,362","5,673","          2.71","7,351","8,011","          0.92"
"서울특별시 서대문구 남가좌제2동(1141070000)","29,626","13,399","          2.21","14,281","15,345","          0.93"
"서울특별시 서대문구 북가좌제1동(1141071000)","17,853","6,879","          2.60","8,567","9,286","          0.92"
"서울특별시 서대문구 북가좌제2동(1141072000)","31,188","14,642","          2.13","15,202","15,986","          0.95"
"서울특별시 마포구 (1144000000)","367,584","181,138","          2.03","172,569","195,015","          0.88"
"서울특별시 마포구 아현동(1144055500)","25,199","10,505","          2.40","11,792","13,407","          0.88"
"서울특별시 마포구 공덕동(1144056500)","37,052","18,632","          1.99","17,366","19,686","          0.88"
"서울특별시 마포구 도화동(1144058500)","20,974","9,313","          2.25","9,994","10,980","          0.91"
"서울특별시 마포구 용강동(1144059000)","21,395","9,313","          2.30","10,116","11,279","          0.90"
"서울특별시 마포구 대흥동(1144060000)","14,555","8,822","          1.65","7,046","7,509","          0.94"
"서울특별시 마포구 염리동(1144061000)","16,919","7,887","          2.15","8,112","8,807","          0.92"
"서울특별시 마포구 신수동(1144063000)","22,461","10,099","          2.22","10,939","11,522","          0.95"
"서울특별시 마포구 서강동(1144065500)","24,890","12,220","          2.04","11,882","13,008","          0.91"
"서울특별시 마포구 서교동(1144066000)","24,911","15,587","          1.60","11,382","13,529","          0.84"
"서울특별시 마포구 합정동(1144068000)","17,160","9,529","          1.80","7,951","9,209","          0.86"
"서울특별시 마포구 망원제1동(1144069000)","19,752","10,308","          1.92","9,239","10,513","          0.88"
"서울특별시 마포구 망원제2동(1144070000)","18,519","8,507","          2.18","8,650","9,869","          0.88"
"서울특별시 마포구 연남동(1144071000)","14,870","8,660","          1.72","7,032","7,838","          0.90"
"서울특별시 마포구 성산제1동(1144072000)","18,914","9,511","          1.99","8,884","10,030","          0.89"
"서울특별시 마포구 성산제2동(1144073000)","39,528","19,518","          2.03","17,734","21,794","          0.81"
"서울특별시 마포구 상암동(1144074000)","30,485","12,727","          2.40","14,450","16,035","          0.90"
"서울특별시 양천구 (1147000000)","444,548","181,987","          2.44","217,704","226,844","          0.96"
"서울특별시 양천구 목1동(1147051000)","30,529","10,394","          2.94","14,692","15,837","          0.93"
"서울특별시 양천구 목2동(1147052000)","29,689","13,428","          2.21","14,425","15,264","          0.95"
"서울특별시 양천구 목3동(1147053000)","21,869","10,167","          2.15","10,433","11,436","          0.91"
"서울특별시 양천구 목4동(1147054000)","25,164","10,177","          2.47","12,310","12,854","          0.96"
"서울특별시 양천구 목5동(1147055000)","40,815","13,446","          3.04","20,211","20,604","          0.98"
"서울특별시 양천구 신월1동(1147056000)","20,359","10,309","          1.97","10,445","9,914","          1.05"
"서울특별시 양천구 신월2동(1147057000)","20,523","8,497","          2.42","10,007","10,516","          0.95"
"서울특별시 양천구 신월3동(1147058000)","14,971","7,910","          1.89","7,902","7,069","          1.12"
"서울특별시 양천구 신월4동(1147059000)","17,748","6,891","          2.58","8,653","9,095","          0.95"
"서울특별시 양천구 신월5동(1147060000)","14,512","6,488","          2.24","7,221","7,291","          0.99"
"서울특별시 양천구 신월6동(1147061000)","13,686","5,306","          2.58","6,677","7,009","          0.95"
"서울특별시 양천구 신월7동(1147061100)","19,364","9,133","          2.12","9,475","9,889","          0.96"
"서울특별시 양천구 신정1동(1147062000)","19,999","7,042","          2.84","9,759","10,240","          0.95"
"서울특별시 양천구 신정2동(1147063000)","19,176","6,951","          2.76","9,398","9,778","          0.96"
"서울특별시 양천구 신정3동(1147064000)","50,403","19,755","          2.55","24,468","25,935","          0.94"
"서울특별시 양천구 신정4동(1147065000)","32,715","16,375","          2.00","15,930","16,785","          0.95"
"서울특별시 양천구 신정6동(1147067000)","24,357","8,270","          2.95","11,862","12,495","          0.95"
"서울특별시 양천구 신정7동(1147068000)","28,669","11,448","          2.50","13,836","14,833","          0.93"
"서울특별시 강서구 (1150000000)","573,045","274,301","          2.09","275,233","297,812","          0.92"
"서울특별시 강서구 염창동(1150051000)","41,652","16,553","          2.52","20,124","21,528","          0.93"
"서울특별시 강서구 등촌제1동(1150052000)","24,777","13,999","          1.77","11,448","13,329","          0.86"
"서울특별시 강서구 등촌제2동(1150053000)","20,002","8,656","          2.31","9,726","10,276","          0.95"
"서울특별시 강서구 등촌제3동(1150053500)","30,302","15,202","          1.99","14,335","15,967","          0.90"
"서울특별시 강서구 화곡제1동(1150054000)","51,866","28,228","          1.84","25,193","26,673","          0.94"
"서울특별시 강서구 화곡제2동(1150055000)","17,699","8,255","          2.14","8,559","9,140","          0.94"
"서울특별시 강서구 화곡제3동(1150056000)","21,504","9,750","          2.21","10,248","11,256","          0.91"
"서울특별시 강서구 화곡제4동(1150057000)","20,438","9,808","          2.08","10,011","10,427","          0.96"
"서울특별시 강서구 화곡본동(1150059000)","34,185","17,561","          1.95","16,513","17,672","          0.93"
"서울특별시 강서구 화곡제6동(1150059100)","25,109","13,043","          1.93","12,053","13,056","          0.92"
"서울특별시 강서구 화곡제8동(1150059300)","24,416","11,983","          2.04","11,780","12,636","          0.93"
"서울특별시 강서구 가양제1동(1150060300)","34,179","20,733","          1.65","15,577","18,602","          0.84"
"서울특별시 강서구 가양제2동(1150060400)","13,975","8,134","          1.72","6,611","7,364","          0.90"
"서울특별시 강서구 가양제3동(1150060500)","14,822","7,858","          1.89","6,888","7,934","          0.87"
"서울특별시 강서구 발산제1동(1150061100)","36,254","13,531","          2.68","17,100","19,154","          0.89"
"서울특별시 강서구 우장산동(1150061500)","42,579","16,145","          2.64","20,357","22,222","          0.92"
"서울특별시 강서구 공항동(1150062000)","30,674","14,078","          2.18","15,459","15,215","          1.02"
"서울특별시 강서구 방화제1동(1150063000)","42,730","17,342","          2.46","20,826","21,904","          0.95"
"서울특별시 강서구 방화제2동(1150064000)","23,263","12,124","          1.92","11,462","11,801","          0.97"
"서울특별시 강서구 방화제3동(1150064100)","22,619","11,318","          2.00","10,963","11,656","          0.94"
"서울특별시 구로구 (1153000000)","394,850","182,172","          2.17","194,304","200,546","          0.97"
"서울특별시 구로구 신도림동(1153051000)","35,966","13,877","          2.59","17,462","18,504","          0.94"
"서울특별시 구로구 구로제1동(1153052000)","20,763","8,362","          2.48","10,160","10,603","          0.96"
"서울특별시 구로구 구로제2동(1153053000)","23,492","12,561","          1.87","11,830","11,662","          1.01"
