"행정구역","2022년06월_총인구수","2022년06월_세대수","2022년06월_세대당 인구","2022년06월_남자 인구수","2022년06월_여자 인구수","2022년06월_남여 비율"
"경상북도 봉화군 춘양면(4792034000)","4,379","2,515","          1.74","2,206","2,173","          1.02"
"경상북도 봉화군 소천면(4792035000)","2,160","1,346","          1.60","1,099","1,061","          1.04"
"경상북도 봉화군 재산면(4792036000)","1,455","860","          1.69","738","717","          1.03"
"경상북도 봉화군 명호면(4792037000)","2,226","1,275","          1.75","1,180","1,046","          1.13"
"경상북도 봉화군 상운면(4792038000)","1,690","1,012","          1.67","862","828","          1.04"
"경상북도 봉화군 석포면(4792039000)","1,928","1,053","          1.83","1,092","836","          1.31"
"경상북도 울진군 (4793000000)","47,349","25,462","          1.86","23,805","23,544","          1.01"
"경상북도 울진군 울진읍(4793025000)","13,687","6,245","          2.19","6,924","6,763","          1.02"
"경상북도 울진군 평해읍(4793025300)","2,670","1,648","          1.62","1,276","1,394","          0.92"
"경상북도 울진군 북면(4793031000)","6,732","3,426","          1.96","3,569","3,163","          1.13"
"경상북도 울진군 북면하당출장소(4793031500)","684","404","          1.69","353","331","          1.07"
"경상북도 울진군 근남면(4793033000)","2,740","1,571","          1.74","1,390","1,350","          1.03"
"경상북도 울진군 기성면(4793035000)","2,419","1,584","          1.53","1,163","1,256","          0.93"
"경상북도 울진군 온정면(4793036000)","1,648","991","          1.66","798","850","          0.94"
"경상북도 울진군 죽변면(4793037000)","6,198","3,579","          1.73","3,188","3,010","          1.06"
"경상북도 울진군 후포면(4793038000)","7,316","3,987","          1.83","3,574","3,742","          0.96"
"경상북도 울진군 금강송면(4793039000)","1,257","781","          1.61","619","638","          0.97"
"경상북도 울진군 매화면(4793040000)","1,998","1,246","          1.60","951","1,047","          0.91"
"경상북도 울릉군 (4794000000)","9,082","5,459","          1.66","4,993","4,089","          1.22"
"경상북도 울릉군 울릉읍(4794025000)","6,418","3,833","          1.67","3,530","2,888","          1.22"
"경상북도 울릉군 서면(4794031000)","912","489","          1.87","487","425","          1.15"
"경상북도 울릉군 서면태하출장소(4794031500)","449","290","          1.55","253","196","          1.29"
"경상북도 울릉군 북면(4794032000)","1,303","847","          1.54","723","580","          1.25"
"경상남도  (4800000000)","3,295,615","1,515,190","          2.18","1,659,245","1,636,370","          1.01"
"경상남도 창원시 (4812000000)","1,026,749","456,089","          2.25","520,087","506,662","          1.03"
"경상남도 창원시 의창구 (4812100000)","216,485","96,455","          2.24","110,277","106,208","          1.04"
"경상남도 창원시 의창구 동읍(4812125000)","19,584","9,147","          2.14","10,029","9,555","          1.05"
"경상남도 창원시 의창구 북면(4812131000)","42,997","16,585","          2.59","21,662","21,335","          1.02"
"경상남도 창원시 의창구 대산면(4812132000)","7,078","3,702","          1.91","3,582","3,496","          1.02"
"경상남도 창원시 의창구 의창동(4812151000)","50,049","21,275","          2.35","25,350","24,699","          1.03"
"경상남도 창원시 의창구 팔룡동(4812152000)","25,708","11,112","          2.31","13,117","12,591","          1.04"
"경상남도 창원시 의창구 명곡동(4812153000)","40,976","18,361","          2.23","20,841","20,135","          1.04"
"경상남도 창원시 의창구 봉림동(4812154000)","30,093","16,273","          1.85","15,696","14,397","          1.09"
"경상남도 창원시 성산구 (4812300000)","250,029","106,392","          2.35","127,499","122,530","          1.04"
"경상남도 창원시 성산구 반송동(4812351000)","40,448","15,499","          2.61","20,338","20,110","          1.01"
"경상남도 창원시 성산구 용지동(4812351500)","28,688","13,151","          2.18","14,394","14,294","          1.01"
"경상남도 창원시 성산구 중앙동(4812352000)","34,518","18,271","          1.89","18,658","15,860","          1.18"
"경상남도 창원시 성산구 상남동(4812353000)","27,218","10,725","          2.54","13,658","13,560","          1.01"
"경상남도 창원시 성산구 사파동(4812354000)","46,023","19,496","          2.36","22,880","23,143","          0.99"
"경상남도 창원시 성산구 가음정동(4812355000)","39,682","16,025","          2.48","20,106","19,576","          1.03"
"경상남도 창원시 성산구 성주동(4812356000)","25,837","9,750","          2.65","13,448","12,389","          1.09"
"경상남도 창원시 성산구 웅남동(4812357000)","7,615","3,475","          2.19","4,017","3,598","          1.12"
"경상남도 창원시 마산합포구 (4812500000)","180,790","84,914","          2.13","89,888","90,902","          0.99"
"경상남도 창원시 마산합포구 구산면(4812531000)","4,172","2,348","          1.78","2,164","2,008","          1.08"
"경상남도 창원시 마산합포구 진동면(4812532000)","12,012","5,535","          2.17","6,171","5,841","          1.06"
"경상남도 창원시 마산합포구 진북면(4812533000)","3,350","1,764","          1.90","1,802","1,548","          1.16"
"경상남도 창원시 마산합포구 진전면(4812534000)","3,823","2,194","          1.74","1,882","1,941","          0.97"
"경상남도 창원시 마산합포구 현동(4812551000)","13,985","5,681","          2.46","6,943","7,042","          0.99"
"경상남도 창원시 마산합포구 가포동(4812552000)","1,840","1,101","          1.67","933","907","          1.03"
"경상남도 창원시 마산합포구 월영동(4812553000)","42,424","17,067","          2.49","21,063","21,361","          0.99"
"경상남도 창원시 마산합포구 문화동(4812554000)","11,064","5,972","          1.85","5,504","5,560","          0.99"
"경상남도 창원시 마산합포구 반월중앙동(4812556500)","14,222","6,434","          2.21","6,889","7,333","          0.94"
"경상남도 창원시 마산합포구 완월동(4812557000)","8,958","4,095","          2.19","4,344","4,614","          0.94"
"경상남도 창원시 마산합포구 자산동(4812558000)","10,112","4,790","          2.11","4,962","5,150","          0.96"
"경상남도 창원시 마산합포구 교방동(4812561000)","16,172","7,313","          2.21","8,016","8,156","          0.98"
"경상남도 창원시 마산합포구 오동동(4812563000)","19,289","10,642","          1.81","9,552","9,737","          0.98"
"경상남도 창원시 마산합포구 합포동(4812564000)","7,214","3,791","          1.90","3,633","3,581","          1.01"
